RunId,Service,Tier,Model,Strategy,Status,DurationMs,TotalTokens,Error
"s01_discount_calculator__Gemini-1.5-Flash__zero-shot","s01_discount_calculator","simple","Gemini-1.5-Flash","zero-shot","ERROR",0,0,"Đã thử 4 lần nhưng vẫn gặp Rate Limit từ Gemini API."
"s01_discount_calculator__Gemini-1.5-Flash__few-shot","s01_discount_calculator","simple","Gemini-1.5-Flash","few-shot","SUCCESS",27412,3414,""
"s01_discount_calculator__Gemini-1.5-Flash__cot","s01_discount_calculator","simple","Gemini-1.5-Flash","cot","SUCCESS",36687,5173,""
"s01_discount_calculator__Gemini-1.5-Flash__hybrid","s01_discount_calculator","simple","Gemini-1.5-Flash","hybrid","ERROR",0,0,"Đã thử 4 lần nhưng vẫn gặp Rate Limit từ Gemini API."
"s06_auth_service__Gemini-1.5-Flash__zero-shot","s06_auth_service","medium","Gemini-1.5-Flash","zero-shot","ERROR",0,0,"Đã thử 4 lần nhưng vẫn gặp Rate Limit từ Gemini API."
"s06_auth_service__Gemini-1.5-Flash__few-shot","s06_auth_service","medium","Gemini-1.5-Flash","few-shot","ERROR",0,0,"Đã thử 4 lần nhưng vẫn gặp Rate Limit từ Gemini API."
"s06_auth_service__Gemini-1.5-Flash__cot","s06_auth_service","medium","Gemini-1.5-Flash","cot","SUCCESS",34711,6445,""
"s06_auth_service__Gemini-1.5-Flash__hybrid","s06_auth_service","medium","Gemini-1.5-Flash","hybrid","ERROR",0,0,"Đã thử 4 lần nhưng vẫn gặp Rate Limit từ Gemini API."
"s11_payment_service__Gemini-1.5-Flash__zero-shot","s11_payment_service","complex","Gemini-1.5-Flash","zero-shot","ERROR",0,0,"Đã thử 4 lần nhưng vẫn gặp Rate Limit từ Gemini API."
"s11_payment_service__Gemini-1.5-Flash__few-shot","s11_payment_service","complex","Gemini-1.5-Flash","few-shot","ERROR",0,0,"Đã thử 4 lần nhưng vẫn gặp Rate Limit từ Gemini API."
"s11_payment_service__Gemini-1.5-Flash__cot","s11_payment_service","complex","Gemini-1.5-Flash","cot","ERROR",0,0,"Đã thử 4 lần nhưng vẫn gặp Rate Limit từ Gemini API."
"s11_payment_service__Gemini-1.5-Flash__hybrid","s11_payment_service","complex","Gemini-1.5-Flash","hybrid","ERROR",0,0,"Đã thử 4 lần nhưng vẫn gặp Rate Limit từ Gemini API."
